0,Nacrene City - Petilil (B),Kota Nacrene - Petilil (B),2,3
1,Nacrene City - Cottonee (W),Kota Nacrene - Cottonee (W),,
2,Driftveil City - Basculin red srtip (B),Kota Driftveil - Basculin red srtip (B),,
3,Driftveil City - Basculin blue strip (W),Kota Driftveil - Basculin blue strip (W),,
4,Route 7 - Emolga,Rute 7 - Emolga,,
5,Undella Town - Cinccino & Munchlax,Kota Undella - Cinccino & Munchlax,,
6,Route 15 - Ditto & Rotom,Rute 15 - Ditto & Rotom,,
7,????,????,,
8,HGSS trade 1 - Power Plant.,HGSS trade 1 - Power Plant.,,
9,HGSS trade 2 - Pewter City,HGSS trade 2 - Pewter City,,
10,HGSS trade 3 -  Saffron City,HGSS trade 3 -  Saffron City,,
11,HGSS trade 4 - Diglett's Cave,HGSS trade 4 - Diglett's Cave,,
12,HGSS trade 5 - Silph Co.,HGSS trade 5 - Silph Co.,,
